Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS
0.05,0.15,0,nan,nan,nan,2.981
0.09,0.31,0.01,0.03,0.23,0.01,2.986
0.15,0.74,0.11,0.06,0.47,0.01,2.991
0.68,1.89,0.36,0.09,0.71,0.01,2.996
0.53,3.07,0.52,0.11,0.95,0.02,3.001
0.2,4.25,0.41,0.12,1.18,0.02,2.996
-0.89,5.39,0.08,0.13,1.41,0.03,2.996
-1.35,6.69,-0.04,0.15,1.65,0.04,2.996
-1.71,8.29,-0.07,0.17,1.88,0.05,2.996
-1.84,9.72,-0.05,0.21,2.1,0.06,2.996
-2.28,11.12,-0.15,0.24,2.33,0.06,2.996
-2.76,12.49,-0.24,0.29,2.55,0.06,3.001
0.52,14.16,29.31,0.33,2.77,0.07,3.001
-3.45,15.39,-0.32,0.57,4.07,0.05,3.001
-3.98,16.69,-0.55,0.68,5.38,-0.01,3.001
-4.56,17.96,-0.86,0.75,6.66,-0.09,2.996
-5.05,19.22,-1.16,0.89,8.05,-0.21,3.001
-5.44,20.45,-1.44,1.06,9.22,-0.28,3.001
-5.88,21.9,-1.71,1.19,10.37,-0.35,2.996
-6.07,23.16,-1.87,1.5,11.47,-0.44,3.001
-6.27,24.39,-2.03,1.82,12.55,-0.52,2.996
-6.44,25.65,-2.23,2.15,13.61,-0.57,3.001
-6.78,26.83,-2.45,nan,nan,nan,2.996
-7.14,28.19,-2.73,2.62,15.86,-0.62,2.972
-7.49,29.33,-2.97,2.83,16.85,-0.63,2.977
-7.88,30.45,-3.23,2.99,17.86,-0.62,2.986
-8.27,31.57,-3.48,3.17,18.86,-0.62,3.016
-8.65,32.7,-3.76,3.36,19.85,-0.6,2.805
-9.07,33.8,-4.06,3.57,20.98,-0.57,2.82
-9.64,35.08,-4.46,3.71,21.95,-0.55,2.884
-10.12,36.15,-4.8,3.86,22.89,-0.53,2.942
-10.63,37.23,-5.16,4.01,23.82,-0.5,2.957
-11,38.21,-5.46,4.18,24.73,-0.48,2.957
-11.12,39.01,-5.69,4.49,25.53,-0.49,2.937
-12.03,39.66,-6.04,4.42,26.3,-0.69,2.942
-13.26,40.12,-6.12,3.99,27.08,-0.36,2.933
-15.8,40.23,-4.78,2.13,27.91,-1.25,2.947
-19.18,39.68,-3.58,-2.76,29.34,-3.4,2.947
-26.35,37.98,-3.41,-11.49,30.56,-1.73,2.918
-40.65,34.89,-3.53,-21.79,31.89,2.99,2.903
-48.58,33.69,-2.47,-29.58,33.47,7.9,2.884
-50.46,34.69,-4.54,-32.26,35.38,7.29,2.937
-52.42,36.81,-7.62,-31.81,37.87,7.98,2.781
-56.62,37.72,-9.63,-32.09,41.53,9.15,2.654
-60.38,39.06,-10.39,-32.73,44.5,10.06,2.527
-63.84,39.88,-11.83,-32.44,46.75,10.99,2.634
-67.49,39.72,-12.98,-32.36,48.88,12.3,2.859
-69.85,40.05,-13.6,-32.99,50.63,13.2,2.766
-71.87,39.76,-14.43,-32.17,51.48,14.34,2.83
-73.49,39.4,-14.77,-30.72,51.83,15.68,2.82
-74.98,38.58,-15.25,-29.79,51.92,16.85,2.83
-76.7,38.53,-14.31,-29.45,51.17,17.66,2.835
-73.83,42.57,-9.88,-31.94,48.67,14.48,2.845
-67.99,45.56,-4.58,-39.27,45.62,7.06,2.864
-70.56,47.98,0.55,-43.44,48.5,8.23,2.918
-76.41,50.31,2.56,-37.56,52.81,17.77,2.996
-79.13,51.87,-0.06,-25.35,56.55,32.12,2.791
-80.09,53.4,-3.28,-14.86,57.29,40.39,2.566
-82.24,52.55,-6.97,-15.95,57.48,38,2.444
-86.5,49.9,-10.45,-20.94,59.08,34.62,2.473
-88.64,47.73,-13.55,-24,60.3,31.28,2.586
-90.11,45.98,-16.96,-26.73,61.11,27.78,2.933
-89.89,45.16,-19.2,-28.6,60.95,24.65,2.791
-89.27,44.57,-21.2,-30.4,60.27,21.94,2.893
-88.93,44.55,-22.73,-32.28,59.36,19.74,2.947
-85.35,45.36,-23.96,-32.92,57.84,16.92,2.991
-80.33,47.65,-22.4,-36.46,55.04,11.34,3.06
-72,50.88,-14.71,-46.44,50.82,-0.23,3.069
-63.7,53.18,-7.58,-53.18,48.85,-9.55,3.03
-60.06,56.13,-4.51,-50.12,49.64,-10,2.996
-58.33,58.68,-2.64,-35.32,52.83,1.16,3.011
nan,nan,nan,-11.54,53.06,19.88,2.918
-53.64,64.53,-5.9,3.39,52.11,28.18,2.918
-51.94,65.58,-7.35,5.29,52.23,25.82,3.05
-55.76,65.91,-11.74,4.04,53.21,25.13,2.771
-58.99,65.55,-15.56,3.76,54.79,24.96,2.742
-53.42,66.65,-15.17,6.04,55.77,25.18,2.835
-50.98,67.99,-15.72,7.23,56.13,23.74,2.884
-46.79,69.04,-15.99,10.18,55.56,22.68,2.918
-43.4,69.69,-15.39,13.69,54.56,23.27,2.913
-36.32,71.03,-11.97,18.26,53.07,23.42,2.972
-22.2,73.67,-3.23,23.29,51.18,21.25,3.001
