TimeStamp,Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS,EMG1,EMG2
2623,0.13,0.17,-0.16,nan,nan,nan,2.253,922,922
2732,0.26,0.35,-0.32,0,0.23,0,2.243,854,921
2841,0.41,0.93,-0.83,0.05,0.46,-0.01,2.243,470,496
2951,0.44,2.23,-1.92,0.12,0.67,-0.02,2.243,303,310
3060,0.6,3.43,-2.81,0.18,0.88,-0.03,2.248,184,144
3169,1.57,4.87,-3.6,0.22,1.09,-0.04,2.258,141,159
3279,3.38,6.03,-3.64,0.25,1.31,-0.03,2.253,142,294
3388,3.03,7.07,-3.76,0.25,1.55,-0.03,2.258,238,272
3498,2.09,8.25,-4.05,0.25,1.79,-0.03,2.258,288,296
3607,1.83,9.64,-4.2,0.24,2.02,-0.03,2.253,287,264
3717,1.2,11,-4.12,0.23,2.26,-0.03,2.253,359,429
3826,1.19,12.53,-4.2,0.21,2.5,-0.03,2.248,342,292
3936,0.71,13.91,-4.55,0.2,2.75,-0.03,2.263,317,351
4045,0.24,15.3,-4.88,0.34,3.85,-0.06,2.268,201,165
4155,0.25,16.66,-4.99,0.65,5.47,-0.16,2.263,342,378
4264,0.59,18.06,-4.89,0.9,6.92,-0.23,2.268,373,436
4374,0.11,19.82,-5.17,0.79,8.32,-0.21,2.273,166,155
4483,-1.23,21.08,-5.53,0.06,9.88,-0.19,2.268,258,230
4593,-1.36,22.27,-5.67,-0.22,11.15,-0.25,2.273,140,94
4702,-1.36,23.56,-5.79,-0.17,12.37,-0.29,2.287,378,401
4812,-1.78,24.85,-5.96,-0.38,13.73,-0.23,2.297,405,347
4922,-1.63,26.14,-5.88,-0.09,15.19,-0.08,2.283,120,119
5031,0.23,27.52,-4.99,0.7,16.31,0.04,2.307,233,229
5141,2.62,28.73,-4.02,1.85,17.21,0.11,2.258,210,167
5251,3.36,30,-3.7,2.49,18.27,0.29,2.258,252,179
5360,3.62,31.36,-3.47,2.76,19.51,0.54,2.297,415,444
5470,4.01,32.87,-3.02,3.03,20.95,0.81,2.346,387,393
5579,3.94,34.97,-2.84,3.3,22.87,1.27,2.385,209,170
5689,3.51,36.95,-2.71,3.06,24.85,1.67,2.424,333,334
5798,2.59,39.08,-2.74,2.25,27.17,2.01,2.375,267,214
5908,0.96,41.25,-2.97,1.24,29.71,2.52,2.317,388,399
6018,-1.51,43.17,-3.69,0.47,32.05,3.53,2.287,391,440
6127,nan,nan,nan,-0.45,34,4.44,2.234,326,349
6237,-5.58,46.52,-4.48,-0.26,35.18,5.02,2.199,360,375
6346,-6.04,47.52,-4.76,0.33,35.89,5.78,2.16,109,120
6456,-5.31,48.13,-3.76,0.72,36.63,6.23,2.141,310,288
6566,-2.91,48.5,-1.4,0.9,37.08,6.45,2.141,374,365
6675,-1.54,48.24,1.23,0.87,37.17,6.95,2.126,395,378
6785,1.29,47.24,5.47,1.56,37.08,8.12,2.146,415,399
6894,2.09,46.49,8.49,2.55,35.97,10.2,2.151,397,444
7004,4.76,45.96,11.9,4.47,34.69,11.19,2.141,412,480
7114,9.2,45.56,14.34,6.32,33.86,11.92,2.141,290,328
7223,9.63,45.98,15.19,7.44,33.52,12.66,2.136,390,407
7333,8.73,46.61,14.96,7.47,33.8,12.91,2.146,242,331
7442,7.42,47.63,13.83,7.15,34.71,12.53,2.151,228,183
7552,5.37,48.91,12.1,6.83,36.35,11.78,2.16,266,449
7662,2.49,49.97,10.07,5.98,38.01,11.1,2.165,358,570
7771,1.15,51.01,8.82,5.62,39.26,10.5,2.175,260,296
7881,1.61,52.18,8.46,5.88,40.04,10.21,2.18,265,284
7990,2.62,53.33,8.76,6.35,40.81,10.18,2.185,285,264
8100,3.59,54.25,8.93,7.04,41.35,10.22,2.185,358,380
8210,3.71,55.22,8.95,7.27,42.12,10.33,2.185,320,454
8319,3.11,55.99,8.74,7.17,42.87,10.42,2.19,344,352
8429,3.14,56.75,8.69,7.36,43.63,10.44,2.229,364,429
8538,4.08,57.68,8.81,7.9,44.23,10.33,2.243,353,425
8648,3.81,58.35,8.67,7.89,44.95,10.24,2.209,252,248
8758,3.72,59.05,8.61,7.89,45.67,10.18,2.195,387,422
8867,4.2,59.73,8.83,8.11,46.49,10.15,2.209,284,258
8977,4.42,60.35,8.98,8.25,47.15,10.17,2.214,336,271
9086,4.72,61.16,9.22,8.43,47.8,10.27,2.204,274,227
9196,4.81,61.83,9.42,8.58,48.46,10.44,2.195,309,327
9306,5.44,62.41,9.93,8.93,49,10.66,2.19,332,372
9415,6.49,62.93,10.69,9.47,49.48,10.96,2.195,355,381
9525,8.04,63.03,12.22,10.02,50.21,11.5,2.195,345,354
9634,9.9,63.05,13.89,9.91,50.65,11.6,2.195,139,157
9744,8.61,63.53,13.33,9.66,50.75,11.75,2.195,80,90
9854,8.78,64.2,13.21,10.09,50.94,11.86,2.195,350,337
9963,10.09,64.73,13.79,10.61,51.39,11.82,2.19,337,551
10073,9.95,65.22,13.86,10.58,51.96,11.91,2.18,238,345
10182,9.81,65.78,13.92,10.53,52.37,12.08,2.151,398,436
10292,9.16,66.39,13.85,10.42,52.78,12.29,2.141,115,129
10402,9.44,66.83,14.08,10.56,53.14,12.4,2.141,304,341
10511,10.47,67.34,14.64,11,53.47,12.44,2.146,366,424
10621,10.23,67.73,14.68,10.94,53.98,12.53,2.131,216,364
10730,10.32,68.18,14.84,11.05,54.37,12.64,2.067,195,183
10840,11.56,68.58,15.62,5.9,28.85,5.9,2.009,368,322
10950,11.52,68.89,15.72,11.38,55,12.83,2.009,374,453
11059,11.42,69.18,15.81,11.49,55.32,12.99,2.014,379,514
11169,12.96,69.58,16.69,12.2,55.51,13.16,2.023,379,468
11278,14.83,69.99,17.75,13.26,55.54,13.38,2.028,336,465
11388,15.42,70.42,18.18,13.67,55.74,13.52,2.033,357,392
11497,15.47,70.83,18.36,13.68,56.16,13.59,2.043,104,124
11607,15.38,71.12,18.36,13.64,56.64,13.62,2.043,288,279
11717,15.9,71.49,18.81,13.87,56.78,13.76,2.038,347,489
11826,15.96,72.06,18.81,13.98,56.73,13.81,2.038,182,220
11936,14.67,72.63,17.85,13.94,56.7,13.75,2.043,290,335
12046,13.97,73.2,17.34,13.96,56.99,13.69,2.038,260,322
12156,14.21,73.72,17.54,13.94,57.5,13.51,2.043,202,181
12265,14.22,74.18,17.53,13.88,58.16,13.31,2.043,244,203
12375,14.08,74.71,17.45,13.86,58.7,13.26,2.038,356,556
12484,14.44,75.09,17.8,13.97,59.17,13.31,2.038,362,408
12594,15.42,75.51,18.65,14.19,59.54,13.44,2.043,323,332
12703,15.75,75.81,19.1,14.42,59.83,13.63,2.043,321,376
12813,16.62,76.12,19.8,14.66,60.07,13.77,2.043,351,468
12923,17.28,76.35,20.41,14.91,60.37,13.92,2.067,385,508
13032,17.96,76.61,21.03,15.16,60.59,14.04,2.063,343,421
13142,18.67,76.86,21.7,15.45,60.8,14.24,2.077,305,390
13251,19.74,77.13,22.67,15.74,61.06,14.44,2.072,258,291
13361,20.7,77.36,23.61,16.04,61.28,14.67,2.072,105,122
13471,21.91,77.64,24.69,16.43,61.43,14.91,2.072,250,214
13580,23.01,77.92,25.69,16.63,61.51,15.08,2.072,127,117
13690,23.25,78,25.98,16.6,61.73,15.21,2.067,328,406
13799,23.33,78.22,25.97,16.56,61.9,15.09,2.072,189,168
13909,22.22,78.32,25.35,16.32,62.09,15,2.072,214,228
14019,21.45,78.3,24.69,16.03,62.44,14.63,2.072,344,360
14128,22.83,77.89,25.1,16.75,62.97,14.04,2.067,142,269
14238,21.8,78.29,25.03,15.4,63.01,13.98,2.043,347,402
14347,-2.71,14.11,-23.57,15.61,63.1,14.15,2.004,279,307
14457,21.71,79.06,24.95,15.78,63.3,14.15,2.028,162,243
14567,20.64,79.3,24.47,15.64,63.69,14.24,2.063,331,689
14676,21.56,79.45,25.25,15.91,63.97,14.36,2.151,323,632
14786,21.81,79.73,25.68,16.01,64.18,14.5,2.204,308,596
14895,23.82,80.03,27.14,16.53,64.3,14.55,2.131,118,256
15005,25.49,80.2,28.5,16.94,64.48,14.66,2.072,229,338
15115,27.21,80.36,30.04,17.26,64.62,14.79,2.092,134,183
15224,27.61,80.53,30.5,17.35,64.71,14.94,2.077,271,466
15334,28.01,80.79,31.03,17.5,64.78,15.15,2.067,320,519
15443,29.38,80.81,31.37,18.62,64.64,14.73,2.072,233,306
15553,35.26,80.31,34.78,21.36,64.62,14.49,2.102,313,333
15663,46.03,77.92,39.31,28.28,65.35,13.47,2.077,178,229
15772,71.15,75.27,50.69,48.72,67.59,16.75,1.975,369,442
15882,83.94,73.3,55.12,56.85,67.9,17.3,1.931,337,411
15991,76.47,74.22,51.91,57.14,68.47,18.8,1.911,275,365
16101,78.64,74.91,54.32,57.11,68.33,18.78,1.94,366,420
16211,81.1,75.19,56.48,56.58,68.36,18.45,1.955,320,366
16320,80.4,75.47,56.44,56.18,68.47,18.64,1.96,388,469
16430,81.4,75.69,57.73,55.74,68.35,18.48,1.96,398,484
16539,80.99,75.92,58.07,54.63,68.29,18.49,1.965,189,260
16649,77.43,76.9,59.87,45.06,67,18.11,1.965,240,243
16758,49.15,79.21,45.65,29.78,66.32,17.61,1.97,287,288
16868,43.63,80.52,41.57,26.9,66.62,16.53,1.975,256,355
16978,49.11,81.8,44.98,27.04,66.46,15.03,1.97,332,428
17087,48.86,82.15,45.12,27.03,66.52,15.01,1.975,327,388
17197,48.51,82.22,44.8,26.93,66.81,14.9,1.975,314,345
17306,52.39,82.33,47.86,27.13,67.17,14.68,1.979,290,287
17416,52.65,82.44,48.24,27.24,67.47,14.72,1.979,373,383
17525,54.96,82.54,50.23,45.8,61.15,45.61,1.979,186,205
17635,56.56,82.58,51.73,28.03,67.89,15,1.989,252,227
17745,57.97,82.58,53.05,28.39,68.02,15.22,1.994,348,397
17855,59.8,82.57,54.76,28.83,68.14,15.5,2.019,323,360
17964,62.14,82.54,56.87,29.44,68.25,15.85,2.048,355,431
18074,64.02,82.48,58.58,29.96,68.35,16.12,2.063,404,570
18184,65.39,82.53,59.88,30.33,68.55,16.24,2.063,154,190
18294,66.66,82.62,61.16,30.47,68.74,16.23,2.063,213,207
18404,67.77,82.71,62.31,30.56,68.98,16.33,2.072,210,208
18514,69.18,82.81,63.81,30.75,69.23,16.56,2.067,354,447
