TimeStamp,Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS,EMG1
3072,-0.05,0.2,-0.01,0,0,0,2.717,43
3087,-0.07,0.42,-0.01,-0.03,0.22,-0.01,2.722,44
3102,-0.09,0.65,0,-0.06,0.44,-0.01,2.717,42
3118,-0.1,0.87,0.01,-0.1,0.66,-0.02,2.722,40
3134,-0.11,1.1,0.03,-0.14,0.88,-0.03,2.722,42
3149,-0.11,1.31,0.04,-0.18,1.1,-0.04,2.722,41
3165,-0.13,1.53,0.05,-0.22,1.31,-0.05,2.722,39
3180,-0.16,1.76,0.06,-0.22,1.31,-0.05,2.722,43
3195,-0.19,1.98,0.06,-0.26,1.52,-0.06,2.722,41
3211,-0.23,2.19,0.06,-0.3,1.73,-0.07,2.722,39
3227,-0.28,2.38,0.07,-0.33,1.94,-0.07,2.722,40
3241,-0.33,2.58,0.09,-0.37,2.15,-0.08,2.722,39
3256,-0.38,2.79,0.1,-0.4,2.35,-0.09,2.722,38
3270,-0.41,3.01,0.1,-0.44,2.56,-0.1,2.722,38
3285,-0.42,3.25,0.11,-0.44,2.56,-0.1,2.722,37
3298,-0.43,3.47,0.12,-0.48,2.77,-0.11,2.722,37
3313,-0.44,3.68,0.13,-0.52,2.97,-0.13,2.722,37
3327,-0.45,3.89,0.14,-0.55,3.19,-0.15,2.722,37
3342,-0.46,4.09,0.15,-0.59,3.4,-0.16,2.722,40
3356,-0.46,4.3,0.17,-0.59,3.4,-0.16,2.722,40
3370,-0.47,4.52,0.18,-0.64,3.61,-0.18,2.722,38
3384,-0.48,4.75,0.19,-0.67,3.82,-0.19,2.722,37
3399,-0.52,4.96,0.21,-0.72,4.04,-0.2,2.722,38
3413,-0.55,5.17,0.22,-0.75,4.25,-0.21,2.722,39
3427,-0.58,5.38,0.23,-0.75,4.25,-0.21,2.722,38
3441,-0.6,5.59,0.24,-0.78,4.46,-0.22,2.722,37
3456,-0.61,5.81,0.24,-0.81,4.67,-0.24,2.722,37
3470,-0.61,6.03,0.26,-0.82,4.89,-0.25,2.722,38
3485,-0.63,6.25,0.27,-0.84,5.1,-0.26,2.722,38
3499,-0.65,6.46,0.27,-0.84,5.1,-0.26,2.727,37
3513,-0.68,6.68,0.27,-0.86,5.31,-0.27,2.722,37
3528,-0.69,6.9,0.27,-0.89,5.53,-0.28,2.722,36
3543,-0.7,7.11,0.26,-0.92,5.74,-0.3,2.722,36
3557,-0.73,7.32,0.27,-0.95,5.95,-0.31,2.722,36
3572,-0.76,7.53,0.27,-0.95,5.95,-0.31,2.722,38
3586,-0.79,7.75,0.28,-0.98,6.16,-0.33,2.722,37
3600,-0.81,7.96,0.28,-1.01,6.37,-0.34,2.722,38
3615,-0.82,8.19,0.28,-1.04,6.59,-0.35,2.722,38
3629,-0.82,8.4,0.29,-1.07,6.79,-0.36,2.722,38
3644,-0.82,8.62,0.3,-1.11,7.01,-0.37,2.722,40
3658,-0.83,8.84,0.31,-1.11,7.01,-0.37,2.722,40
3672,-0.84,9.06,0.32,-1.14,7.22,-0.37,2.722,39
3687,-0.85,9.28,0.33,-1.17,7.43,-0.39,2.722,40
3701,-0.86,9.5,0.33,-1.19,7.63,-0.4,2.722,40
3716,-0.87,9.72,0.32,-1.22,7.84,-0.41,2.722,40
3730,-0.91,9.92,0.33,-1.22,7.84,-0.41,2.722,39
3744,-0.96,10.13,0.33,-1.25,8.05,-0.41,2.722,38
3759,-1.02,10.33,0.32,-1.29,8.26,-0.42,2.722,38
3773,-1.07,10.54,0.31,-1.33,8.46,-0.44,2.722,38
3788,-1.12,10.75,0.3,-1.36,8.66,-0.45,2.722,39
3803,-1.15,10.97,0.28,-1.36,8.66,-0.45,2.722,38
3816,-1.18,11.19,0.26,-1.38,8.87,-0.46,2.722,39
3831,-1.21,11.41,0.26,-1.41,9.07,-0.47,2.717,38
3846,-1.25,11.63,0.25,-1.44,9.27,-0.49,2.717,37
3860,-1.28,11.85,0.24,-1.48,9.46,-0.5,2.722,38
3875,-1.31,12.06,0.22,-1.52,9.66,-0.51,2.722,37
3889,-1.33,12.28,0.21,-1.52,9.66,-0.51,2.722,39
3903,-1.35,12.5,0.19,-1.55,9.86,-0.53,2.717,39
3918,-1.39,12.72,0.16,-1.58,10.07,-0.55,2.717,38
