TimeStamp,Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS,EMG1
3697,0.42,0.47,-0.28,0,0,0,2.312,58
3711,1.08,0.87,-0.56,-0.02,0.26,0.03,2.312,70
3726,1.48,0.96,-0.87,-0.04,0.52,0.07,2.312,60
3741,1.5,1.05,-1.16,-0.05,0.78,0.1,2.317,58
3756,1.48,1.31,-1.35,-0.04,1.03,0.12,2.317,56
3770,1.58,1.71,-1.51,-0.04,1.03,0.12,2.317,52
3784,1.82,2.1,-1.61,-0.01,1.27,0.15,2.317,48
3799,2.08,2.48,-1.66,0.02,1.5,0.17,2.317,50
3814,2.28,2.77,-1.64,0.04,1.75,0.19,2.317,55
3829,2.29,3,-1.59,0.06,1.99,0.21,2.322,51
3843,2.15,3.25,-1.57,0.08,2.23,0.23,2.317,54
3858,1.9,3.54,-1.6,0.08,2.23,0.23,2.317,48
3872,1.58,3.82,-1.67,0.1,2.47,0.25,2.317,44
3887,1.21,4.13,-1.76,0.13,2.71,0.26,2.312,42
3901,0.83,4.47,-1.87,0.17,2.94,0.27,2.312,41
3916,0.47,4.82,-1.98,0.21,3.17,0.29,2.312,39
3931,0.12,5.17,-2.07,0.21,3.17,0.29,2.312,39
3945,-0.16,5.49,-2.12,0.26,3.4,0.3,2.317,41
3960,-0.34,5.78,-2.15,0.29,3.62,0.31,2.312,50
3974,-0.47,6.08,-2.16,0.34,3.83,0.32,2.312,46
3989,-0.58,6.4,-2.19,0.39,4.05,0.34,2.312,43
4004,-0.72,6.72,-2.26,0.44,4.27,0.36,2.312,41
4018,-0.92,7.09,-2.36,0.44,4.27,0.36,2.312,39
4033,-1.1,7.39,-2.44,0.49,4.48,0.38,2.312,39
4047,-1.31,7.68,-2.49,0.55,4.69,0.39,2.312,38
4062,-1.55,8,-2.54,0.6,4.91,0.42,2.312,38
4077,-1.79,8.34,-2.59,0.65,5.13,0.44,2.317,38
4091,-2.01,8.61,-2.62,0.72,5.35,0.46,2.317,36
4106,-2.17,8.85,-2.6,0.72,5.35,0.46,2.322,36
4120,-2.31,9.13,-2.57,0.8,5.57,0.48,2.322,37
4135,-2.39,9.41,-2.54,0.88,5.78,0.51,2.326,36
