Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS,EMG1,Activity
-87.06,79.64,-81.48,-32.27,69.44,-28.07,2.546,36,standing
-87.06,79.64,-81.48,-32.27,69.44,-28.07,2.546,37,standing
-87.22,79.64,-81.66,-32.29,69.46,-28.09,2.546,36,standing
-87.41,79.65,-81.85,-32.32,69.47,-28.13,2.546,36,standing
-87.54,79.66,-81.97,-32.37,69.49,-28.17,2.546,38,standing
-87.71,79.66,-82.14,-32.41,69.51,-28.21,2.546,38,standing
-87.71,79.66,-82.14,-32.46,69.53,-28.25,2.546,37,standing
-87.89,79.66,-82.31,-32.46,69.53,-28.25,2.546,37,standing
-88.05,79.66,-82.47,-32.51,69.54,-28.3,2.546,37,standing
-88.18,79.66,-82.59,-32.55,69.56,-28.34,2.546,36,standing
-88.31,79.66,-82.72,-32.6,69.58,-28.38,2.546,36,standing
-88.31,79.66,-82.72,-32.66,69.61,-28.44,2.546,36,standing
-88.47,79.66,-82.88,-32.66,69.61,-28.44,2.546,37,standing
-88.63,79.66,-83.04,-32.71,69.62,-28.49,2.546,38,standing
-88.79,79.66,-83.2,-32.75,69.64,-28.53,2.546,38,standing
-88.96,79.66,-83.36,-32.79,69.67,-28.57,2.546,37,standing
-88.96,79.66,-83.36,-32.83,69.69,-28.61,2.546,37,standing
-89.12,79.66,-83.52,-32.83,69.69,-28.61,2.546,37,standing
-89.28,79.66,-83.68,-32.88,69.7,-28.65,2.546,39,standing
-89.44,79.66,-83.84,-32.92,69.72,-28.69,2.546,38,standing
-89.6,79.66,-84,-32.96,69.74,-28.73,2.546,38,standing
-89.78,79.66,-84.16,-33,69.76,-28.77,2.546,37,standing
-89.78,79.66,-84.16,-33,69.76,-28.77,2.546,37,standing
-89.93,79.66,-84.31,-33.04,69.77,-28.8,2.546,39,standing
-90.11,79.66,-84.49,-33.08,69.79,-28.84,2.546,39,standing
-90.26,79.66,-84.65,-33.12,69.81,-28.88,2.546,38,standing
-90.41,79.66,-84.81,-33.16,69.82,-28.92,2.546,37,standing
-90.41,79.66,-84.81,-33.16,69.82,-28.92,2.546,36,standing
-90.58,79.65,-84.98,-33.2,69.84,-28.96,2.542,37,standing
-90.76,79.66,-85.16,-33.26,69.85,-29.01,2.546,36,standing
-90.91,79.66,-85.31,-33.3,69.87,-29.05,2.546,37,standing
-91.07,79.66,-85.47,-33.34,69.89,-29.09,2.542,36,standing
-91.07,79.66,-85.47,-33.34,69.89,-29.09,2.546,36,standing
-91.21,79.67,-85.61,-33.39,69.91,-29.14,2.546,37,standing
-91.37,79.66,-85.77,-33.44,69.93,-29.18,2.542,36,standing
-91.52,79.66,-85.91,-33.48,69.95,-29.22,2.546,37,standing
-91.7,79.66,-86.09,-33.52,69.96,-29.26,2.546,36,standing
-91.7,79.66,-86.09,-33.52,69.96,-29.26,2.542,36,standing
-91.88,79.65,-86.27,-33.56,69.97,-29.3,2.546,37,standing
-92.02,79.65,-86.41,-33.6,69.98,-29.34,2.546,36,standing
-92.18,79.65,-86.56,-33.66,70,-29.39,2.546,37,standing
-92.33,79.65,-86.71,-33.7,70.01,-29.43,2.546,37,standing
-92.33,79.65,-86.71,-33.74,70.03,-29.47,2.546,37,standing
-92.47,79.64,-86.84,-33.74,70.03,-29.47,2.546,38,standing
-92.61,79.64,-86.99,-33.79,70.04,-29.51,2.546,38,standing
-92.76,79.64,-87.12,-33.81,70.06,-29.53,2.546,38,standing
-92.91,79.64,-87.27,-33.86,70.07,-29.57,2.542,37,standing
-93.03,79.63,-87.39,-33.91,70.09,-29.63,2.546,37,standing
-93.03,79.63,-87.39,-33.91,70.09,-29.63,2.546,37,standing
-93.18,79.63,-87.53,-33.96,70.1,-29.68,2.546,38,standing
-93.29,79.63,-87.64,-34.02,70.13,-29.73,2.542,38,standing
-93.43,79.62,-87.77,-34.08,70.14,-29.79,2.546,38,standing
-93.57,79.62,-87.91,-34.12,70.15,-29.83,2.546,38,standing
-93.57,79.62,-87.91,-34.12,70.15,-29.83,2.546,38,standing
-93.71,79.62,-88.05,-34.17,70.17,-29.87,2.546,37,standing
-93.87,79.61,-88.21,-34.22,70.18,-29.92,2.546,37,standing
-94.02,79.61,-88.37,-34.25,70.2,-29.96,2.546,37,standing
-94.16,79.61,-88.5,-34.29,70.21,-30,2.546,37,standing
-94.16,79.61,-88.5,-34.29,70.21,-30,2.546,36,standing
-94.3,79.61,-88.64,-34.32,70.23,-30.04,2.546,37,standing
-94.44,79.61,-88.78,-34.36,70.23,-30.06,2.546,37,standing
-94.58,79.61,-88.91,-34.4,70.25,-30.1,2.542,37,standing
-94.75,79.6,-89.09,-34.44,70.26,-30.14,2.546,36,standing
-94.75,79.6,-89.09,-34.44,70.26,-30.14,2.542,36,standing
-94.89,79.6,-89.22,-34.46,70.28,-30.16,2.546,36,standing
-94.99,79.6,-89.32,-34.5,70.29,-30.2,2.542,35,standing
-95.13,79.61,-89.45,-34.53,70.31,-30.23,2.542,36,standing
-95.27,79.6,-89.58,-34.57,70.33,-30.27,2.546,36,standing
-95.41,79.6,-89.73,-34.57,70.33,-30.27,2.546,37,standing
-95.41,79.6,-89.73,-34.58,70.34,-30.28,2.542,37,standing
-95.57,79.6,-89.91,-34.61,70.36,-30.3,2.546,36,standing
-95.7,79.6,-90.04,-34.65,70.38,-30.34,2.542,37,standing
