Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS,EMG1,Activity
-178.76,75.2,26.14,-50.79,74.57,7.38,2.625,56,upstairs
-178.58,75.35,26.3,-50.65,74.54,7.4,2.625,53,upstairs
-178.39,75.49,26.45,-50.48,74.52,7.43,2.62,54,upstairs
-178.48,75.66,26.26,-50.31,74.51,7.42,2.625,56,upstairs
-178.73,75.78,25.88,-50.31,74.51,7.42,2.63,69,upstairs
-178.73,75.78,25.88,-50.2,74.49,7.4,2.63,66,upstairs
-179.17,75.93,25.33,-50.15,74.49,7.4,2.634,76,upstairs
-179.64,76.11,24.84,-50.26,74.45,7.26,2.639,73,upstairs
-179.99,76.27,24.48,-50.31,74.38,7.13,2.649,83,upstairs
179.71,76.44,24.11,-50.31,74.38,7.13,2.644,107,upstairs
179.71,76.44,24.11,-50.22,74.3,7.11,2.649,131,upstairs
179.42,76.62,23.73,-50.02,74.2,7.17,2.649,108,upstairs
179.08,76.79,23.31,-49.82,74.09,7.26,2.649,103,upstairs
178.62,76.92,22.84,-49.79,73.95,7.22,2.644,131,upstairs
177.95,77.02,22.28,-49.79,73.95,7.22,2.644,132,upstairs
177.95,77.02,22.28,-50.07,73.78,6.85,2.634,128,upstairs
177.05,77.1,21.56,-50.8,73.54,6.12,2.63,111,upstairs
175.89,77.16,20.77,-52.19,73.2,4.75,2.625,90,upstairs
174.37,77.14,19.73,-53.88,72.83,3.11,2.62,86,upstairs
172.32,77.17,18.22,-53.88,72.83,3.11,2.615,75,upstairs
172.32,77.17,18.22,-55.73,72.43,1.3,2.61,65,upstairs
169.41,77.24,15.76,-57.57,71.95,-0.47,2.61,58,upstairs
165.55,77.37,12.21,-59.62,71.41,-2.36,2.595,52,upstairs
161.04,77.44,8.01,-62.02,70.83,-4.38,2.581,48,upstairs
156.45,77.34,3.83,-64.62,70.23,-6.48,2.556,45,upstairs
151.92,77.21,-0.28,-64.62,70.23,-6.48,2.522,42,upstairs
151.92,77.21,-0.28,-67.31,69.6,-8.75,2.4,41,upstairs
147.5,77.09,-4.4,-70.27,68.98,-11.43,2.351,39,upstairs
143.01,76.93,-8.67,-73.21,68.3,-14.42,2.239,40,upstairs
138.45,76.69,-13.04,-76.04,67.66,-17.71,2.155,39,upstairs
133.4,76.47,-17.83,-76.04,67.66,-17.71,2.082,39,upstairs
133.4,76.47,-17.83,-77.89,67.12,-20.24,1.96,38,upstairs
127.86,76.15,-23.01,-79.27,66.73,-22.13,1.95,40,upstairs
122.39,75.64,-27.93,-80.48,66.5,-23.54,1.945,38,upstairs
117.54,74.92,-32.05,-81.76,66.38,-24.67,1.916,38,upstairs
113.77,74.04,-34.97,-81.76,66.38,-24.67,1.862,40,upstairs
113.77,74.04,-34.97,-83.14,66.38,-25.56,1.833,40,upstairs
110.95,73.08,-36.89,-84.54,66.48,-26.26,1.828,40,upstairs
108.52,72.08,-38.31,-85.74,66.72,-26.74,1.818,39,upstairs
106.19,71.07,-39.59,-86.59,67.1,-26.92,1.808,40,upstairs
103.97,70.07,-40.76,-86.59,67.1,-26.92,1.794,40,upstairs
103.97,70.07,-40.76,-87.12,67.57,-26.96,1.794,39,upstairs
102.08,69.11,-41.71,-87.3,68.1,-26.86,1.794,40,upstairs
100.57,68.15,-42.44,-87.29,68.73,-26.68,1.799,40,upstairs
99.38,67.22,-43.03,-87.22,69.47,-26.34,1.804,39,upstairs
98.49,66.32,-43.49,-87.22,69.47,-26.34,1.813,39,upstairs
98.49,66.32,-43.49,-87,70.34,-25.75,1.823,37,upstairs
97.74,65.43,-43.93,-86.59,71.3,-24.89,1.838,37,upstairs
97.11,64.56,-44.22,-86.06,72.25,-23.88,1.848,36,upstairs
96.57,63.76,-44.41,-85.22,73.2,-22.65,1.857,36,upstairs
96.1,63.03,-44.52,-85.22,73.2,-22.65,1.867,35,upstairs
95.78,62.4,-44.51,-83.99,74.17,-21.06,1.877,35,upstairs
95.78,62.4,-44.51,-82.38,75.08,-19.14,1.891,35,upstairs
95.49,61.87,-44.39,-80.52,75.93,-17.02,1.901,35,upstairs
95.19,61.47,-44.17,-78.65,76.67,-14.84,1.911,35,upstairs
94.88,61.19,-43.87,-78.65,76.67,-14.84,1.921,35,upstairs
94.69,61.05,-43.46,-76.79,77.31,-12.62,1.931,35,upstairs
94.69,61.05,-43.46,-74.94,77.86,-10.38,1.935,34,upstairs
94.65,60.96,-42.96,-73.02,78.33,-8.01,1.945,35,upstairs
94.56,60.94,-42.58,-71.36,78.71,-5.83,1.955,35,upstairs
94.49,61,-42.17,-70.14,78.93,-4.08,1.965,34,upstairs
94.46,61.15,-41.68,-70.14,78.93,-4.08,1.979,34,upstairs
94.46,61.15,-41.68,-69.55,78.99,-3.06,1.984,34,upstairs
94.52,61.37,-41.12,-69.3,78.92,-2.48,1.989,35,upstairs
